p.value	p.adjust	chi_square_statistic	Gene	n_cond1	n_cond2	n_samples_cond1	n_samples_cond2	n_possible_sites_cond1	n_possible_sites_cond2	p.adjust2
1.54E-15	1.02E-13	63.58141447	XPNPEP3	0	40	12	8	252	168	1.02E-10
1.69E-15	1.11E-13	63.39756944	DCAF16	9	51	12	8	156	104	1.10E-10
1.77E-15	1.14E-13	63.3035851	ARPC2	12	62	12	8	468	312	1.13E-10
1.79E-15	1.14E-13	63.27864583	RNF114	0	40	12	8	264	176	1.13E-10
3.61E-15	2.26E-13	61.9010508	NUTM2A-AS1	23	75	12	8	408	272	2.23E-10
4.20E-15	2.59E-13	61.60355348	HKR1	1	41	12	8	264	176	2.56E-10
4.26E-15	2.59E-13	61.57726612	YIPF4	12	59	12	8	312	208	2.56E-10
4.69E-15	2.81E-13	61.3884774	ANAPC16	0	38	12	8	204	136	2.77E-10
4.83E-15	2.86E-13	61.32822478	RPL34	2	43	12	8	288	192	2.81E-10
5.10E-15	2.97E-13	61.22088766	PHTF1	12	60	12	8	396	264	2.92E-10
5.63E-15	3.23E-13	61.0286108	CDKAL1	4	45	12	8	216	144	3.18E-10
6.21E-15	3.52E-13	60.83320337	SMEK1	1	41	12	8	300	200	3.46E-10
6.87E-15	3.84E-13	60.63534567	EZH2	10	55	12	8	276	184	3.77E-10
7.40E-15	4.09E-13	60.48837209	MIS18BP1	4	46	12	8	288	192	4.00E-10
9.72E-15	5.30E-13	59.95160513	AC002310.13	0	38	12	8	252	168	5.18E-10
1.03E-14	5.56E-13	59.83229251	CTC-444N24.11	0	34	12	8	108	72	5.43E-10
1.19E-14	6.35E-13	59.54558076	SMARCC1	24	77	12	8	624	416	6.19E-10
1.21E-14	6.36E-13	59.517352	TGIF2-C20orf24	2	43	12	8	408	272	6.20E-10
1.48E-14	7.66E-13	59.12615399	PAFAH1B1	5	48	12	8	396	264	7.46E-10
1.50E-14	7.66E-13	59.10258556	DNAJC24	0	37	12	8	216	144	7.46E-10
1.96E-14	9.91E-13	58.57142857	SPC24	0	35	12	8	144	96	9.63E-10
3.22E-14	1.61E-12	57.5979021	PHACTR4	7	48	12	8	228	152	1.56E-09
3.55E-14	1.73E-12	57.40182901	TAF15	0	34	12	8	132	88	1.68E-09
3.55E-14	1.73E-12	57.40182901	ZNF69	0	34	12	8	132	88	1.68E-09
4.57E-14	2.21E-12	56.90577652	FAM126B	2	38	12	8	156	104	2.13E-09
4.88E-14	2.33E-12	56.77604944	SENP6	1	38	12	8	240	160	2.25E-09
5.27E-14	2.49E-12	56.6252035	RPS20	0	36	12	8	240	160	2.40E-09
8.14E-14	3.79E-12	55.7718472	NDUFV3	1	38	12	8	288	192	3.66E-09
8.41E-14	3.88E-12	55.70695696	ZNF506	0	36	12	8	288	192	3.74E-09
1.05E-13	4.78E-12	55.27412281	WSB1	1	37	12	8	228	152	4.60E-09
1.18E-13	5.32E-12	55.04187648	ZNF397	1	36	12	8	180	120	5.12E-09
1.20E-13	5.37E-12	55.00466568	NR2C1	2	39	12	8	252	168	5.16E-09
1.35E-13	5.94E-12	54.78336189	STXBP5	15	57	12	8	228	152	5.71E-09
1.38E-13	6.03E-12	54.73380142	RN7SL498P	0	34	12	8	180	120	5.78E-09
1.42E-13	6.16E-12	54.67160133	RP11-762I7.5	3	41	12	8	288	192	5.90E-09
2.86E-13	1.23E-11	53.29954381	SMG6	0	34	12	8	228	152	1.17E-08
3.68E-13	1.56E-11	52.8053566	SYMPK	0	34	12	8	252	168	1.49E-08
3.86E-13	1.62E-11	52.71207879	MDM4	17	61	12	8	360	240	1.55E-08
4.37E-13	1.82E-11	52.46760079	RP11-453F18__B.1	5	44	12	8	396	264	1.73E-08
6.22E-13	2.56E-11	51.77775142	SNURF	1	33	12	8	132	88	2.44E-08
7.57E-13	3.08E-11	51.38992229	RP3-475N16.1	6	42	12	8	180	120	2.94E-08
8.09E-13	3.24E-11	51.26056202	RPL22	0	33	12	8	240	160	3.08E-08
8.11E-13	3.24E-11	51.25604483	RPS20	0	31	12	8	132	88	3.08E-08
9.04E-13	3.58E-11	51.04166667	STK4	0	30	12	8	108	72	3.40E-08
9.82E-13	3.85E-11	50.88038569	KCTD20	5	42	12	8	276	184	3.65E-08
1.07E-12	4.15E-11	50.71701801	TTC19	3	38	12	8	228	152	3.93E-08
1.11E-12	4.27E-11	50.63962983	LINC00843	1	32	12	8	120	80	4.04E-08
1.21E-12	4.63E-11	50.46252927	MAPK1IP1L	1	34	12	8	204	136	4.38E-08
1.81E-12	6.86E-11	49.67456427	YME1L1	2	34	12	8	144	96	6.48E-08
1.98E-12	7.43E-11	49.50067278	SNRNP40	6	41	12	8	180	120	7.01E-08
2.67E-12	9.92E-11	48.91699018	XPOT	0	29	12	8	108	72	9.34E-08
2.88E-12	1.06E-10	48.77059182	GABPB2	4	40	12	8	384	256	9.97E-08
2.97E-12	1.08E-10	48.71014978	FDPS	2	35	12	8	216	144	1.02E-07
3.07E-12	1.11E-10	48.64588898	RAP1B	0	32	12	8	300	200	1.04E-07
3.39E-12	1.20E-10	48.45121272	LINC00467	0	31	12	8	204	136	1.13E-07
3.39E-12	1.20E-10	48.45121272	SLC35E3	0	31	12	8	204	136	1.13E-07
3.76E-12	1.33E-10	48.2439576	CMSS1	11	46	12	8	156	104	1.24E-07
3.80E-12	1.33E-10	48.22639541	PSPC1	5	40	12	8	240	160	1.24E-07
3.85E-12	1.34E-10	48.19926126	PAAF1	5	41	12	8	336	224	1.25E-07
4.09E-12	1.38E-10	48.08272947	RP11-512M8.5	0	30	12	8	156	104	1.29E-07
4.09E-12	1.38E-10	48.08272947	FCF1	0	30	12	8	156	104	1.29E-07
4.09E-12	1.38E-10	48.08272947	RBBP9	0	30	12	8	156	104	1.29E-07
4.43E-12	1.45E-10	47.92586973	USP9X	2	35	12	8	252	168	1.35E-07
4.45E-12	1.45E-10	47.91339664	USP33	5	41	12	8	360	240	1.35E-07
4.43E-12	1.45E-10	47.92388167	AHR	0	28	12	8	96	64	1.35E-07
4.44E-12	1.45E-10	47.91914683	APOBEC3D	0	24	12	8	48	32	1.35E-07
4.38E-12	1.45E-10	47.94489632	RNF125	0	31	12	8	228	152	1.35E-07
6.20E-12	1.98E-10	47.26650418	HINFP	0	29	12	8	132	88	1.84E-07
6.20E-12	1.98E-10	47.26650418	ZFAND1	0	29	12	8	132	88	1.84E-07
6.50E-12	2.07E-10	47.17324144	GNB1	31	77	12	8	696	464	1.91E-07
6.81E-12	2.15E-10	47.08201058	CBFB	2	33	12	8	156	104	1.98E-07
6.85E-12	2.15E-10	47.0688101	SKP1	1	31	12	8	144	96	1.98E-07
7.64E-12	2.38E-10	46.85558147	HSPD1	9	44	12	8	192	128	2.19E-07
7.78E-12	2.40E-10	46.82037124	PFDN5	0	28	12	8	108	72	2.21E-07
8.38E-12	2.57E-10	46.67592744	RBM39	0	29	12	8	144	96	2.35E-07
8.53E-12	2.58E-10	46.63957871	GART	3	36	12	8	252	168	2.36E-07
8.48E-12	2.58E-10	46.65098566	PABPC1	0	30	12	8	204	136	2.36E-07
9.64E-12	2.89E-10	46.40100381	MYB	5	40	12	8	348	232	2.64E-07
1.01E-11	3.02E-10	46.3021978	XPO1	15	55	12	8	432	288	2.76E-07
1.08E-11	3.16E-10	46.18182147	ARHGAP11B	2	34	12	8	252	168	2.89E-07
1.07E-11	3.16E-10	46.18761507	ZNF101	0	29	12	8	156	104	2.89E-07
1.40E-11	4.06E-10	45.66320693	BAZ1B	3	35	12	8	216	144	3.70E-07
1.40E-11	4.06E-10	45.66377099	PDZD8	1	31	12	8	180	120	3.70E-07
1.42E-11	4.07E-10	45.64701897	NEMF	0	30	12	8	264	176	3.70E-07
1.60E-11	4.56E-10	45.4057352	BAZ1A	1	32	12	8	288	192	4.14E-07
1.61E-11	4.56E-10	45.39788488	ENSA	4	38	12	8	396	264	4.14E-07
1.67E-11	4.70E-10	45.32552083	CHKA	1	31	12	8	192	128	4.26E-07
1.69E-11	4.72E-10	45.30304439	FOXRED2	0	28	12	8	132	88	4.27E-07
2.07E-11	5.74E-10	44.90613805	CTD-3222D19.2	3	35	12	8	252	168	5.19E-07
2.16E-11	5.96E-10	44.82058135	DENND4A	8	44	12	8	396	264	5.38E-07
2.30E-11	6.32E-10	44.69293002	GCNT2	2	32	12	8	168	112	5.70E-07
2.39E-11	6.51E-10	44.6228342	TDG	1	30	12	8	156	104	5.86E-07
2.80E-11	7.54E-10	44.3089337	KAT8	0	28	12	8	156	104	6.79E-07
2.80E-11	7.54E-10	44.3089337	STX2	0	28	12	8	156	104	6.79E-07
3.15E-11	8.43E-10	44.07950437	RABGEF1	0	29	12	8	252	168	7.57E-07
3.33E-11	8.83E-10	43.97523728	ANKRD10	0	27	12	8	120	80	7.92E-07
3.81E-11	1.01E-09	43.70675223	ZNF730	1	31	12	8	288	192	9.02E-07
4.01E-11	1.04E-09	43.60720851	RP11-201K10.3	0	28	12	8	180	120	9.30E-07
3.97E-11	1.04E-09	43.62992729	POLR1D	0	26	12	8	96	64	9.30E-07
4.01E-11	1.04E-09	43.60720851	CEP78	0	28	12	8	180	120	9.30E-07
4.07E-11	1.05E-09	43.582113	DPPA4	11	46	12	8	252	168	9.33E-07
4.21E-11	1.08E-09	43.51225713	LENG8-AS1	3	33	12	8	168	112	9.60E-07
4.33E-11	1.10E-09	43.45940171	LCOR	8	42	12	8	264	176	9.80E-07
4.56E-11	1.15E-09	43.35585586	RPSA	3	32	12	8	132	88	1.02E-06
4.55E-11	1.15E-09	43.36003966	INIP	0	27	12	8	132	88	1.02E-06
5.24E-11	1.31E-09	43.08541285	SLC2A3	0	28	12	8	204	136	1.16E-06
5.88E-11	1.46E-09	42.86037211	CTSB	0	27	12	8	144	96	1.29E-06
6.08E-11	1.50E-09	42.7934652	JPX	1	30	12	8	228	152	1.33E-06
6.35E-11	1.56E-09	42.70916583	C19orf53	0	26	12	8	108	72	1.38E-06
7.26E-11	1.77E-09	42.4464844	POMP	0	27	12	8	156	104	1.56E-06
8.68E-11	2.11E-09	42.09803347	MVB12A	0	27	12	8	168	112	1.86E-06
9.13E-11	2.20E-09	42.00007368	SRGN	0	26	12	8	120	80	1.94E-06
9.24E-11	2.22E-09	41.97552448	YY1AP1	14	51	12	8	468	312	1.95E-06
9.46E-11	2.26E-09	41.92925347	MDM2	0	24	12	8	72	48	1.98E-06
1.11E-10	2.62E-09	41.62529282	SRSF11	16	52	12	8	312	208	2.30E-06
1.16E-10	2.74E-09	41.5308642	RAB2B	0	25	12	8	96	64	2.40E-06
1.20E-10	2.81E-09	41.46880152	RPS10P7	14	50	12	8	372	248	2.46E-06
1.22E-10	2.84E-09	41.4371861	OIP5-AS1	0	26	12	8	132	88	2.48E-06
1.54E-10	3.57E-09	40.97951114	VPS37B	0	26	12	8	144	96	3.12E-06
1.69E-10	3.90E-09	40.79204316	KIAA0101	0	27	12	8	240	160	3.41E-06
1.78E-10	4.08E-09	40.69354839	NDUFC2	0	25	12	8	108	72	3.56E-06
2.20E-10	5.02E-09	40.28038562	R3HDM2	0	26	12	8	168	112	4.37E-06
2.28E-10	5.17E-09	40.21026848	MORF4L1	1	28	12	8	180	120	4.50E-06
2.73E-10	6.17E-09	39.85661204	BDP1	2	30	12	8	216	144	5.36E-06
2.85E-10	6.40E-09	39.77272727	OSBPL1A	3	32	12	8	252	168	5.56E-06
3.22E-10	7.19E-09	39.53418803	HTRA4	0	25	12	8	132	88	6.24E-06
3.34E-10	7.42E-09	39.4628268	ABI1	0	24	12	8	96	64	6.43E-06
3.62E-10	7.99E-09	39.30875483	CRYZL1	2	30	12	8	252	168	6.91E-06
3.93E-10	8.64E-09	39.14622351	PAN3	9	42	12	8	432	288	7.46E-06
4.14E-10	9.04E-09	39.04637897	CDK17	5	35	12	8	276	184	7.81E-06
4.93E-10	1.07E-08	38.70535714	CHD4	1	27	12	8	168	112	9.20E-06
4.93E-10	1.07E-08	38.70392628	NARG2	0	24	12	8	108	72	9.20E-06
5.26E-10	1.13E-08	38.57722216	TMEM106A	2	29	12	8	192	128	9.74E-06
5.54E-10	1.19E-08	38.47712418	SMU1	0	25	12	8	168	112	1.02E-05
5.59E-10	1.19E-08	38.45880682	ADNP	4	32	12	8	180	120	1.02E-05
5.86E-10	1.24E-08	38.36639831	EFTUD2	4	33	12	8	276	184	1.06E-05
5.93E-10	1.25E-08	38.34479128	GINS1	0	23	12	8	84	56	1.07E-05
6.30E-10	1.32E-08	38.22707583	ELF1	4	33	12	8	288	192	1.13E-05
6.31E-10	1.32E-08	38.2232835	SRP9	18	52	12	8	300	200	1.13E-05
6.59E-10	1.37E-08	38.13964916	FBXO34	8	39	12	8	288	192	1.17E-05
8.46E-10	1.75E-08	37.65075822	SLC25A3	0	24	12	8	132	88	1.49E-05
8.79E-10	1.80E-08	37.57658698	GPR107	5	33	12	8	180	120	1.53E-05
8.79E-10	1.80E-08	37.57658698	RPL37A	5	33	12	8	180	120	1.53E-05
9.75E-10	1.99E-08	37.3735862	USP4	15	49	12	8	444	296	1.69E-05
1.01E-09	2.05E-08	37.3075889	NFAT5	2	27	12	8	120	80	1.73E-05
1.21E-09	2.44E-08	36.95459628	N4BP2L2	0	24	12	8	156	104	2.07E-05
1.35E-09	2.68E-08	36.74113859	NDE1	2	27	12	8	132	88	2.27E-05
1.35E-09	2.68E-08	36.73982276	SNRPN	0	23	12	8	108	72	2.27E-05
1.35E-09	2.68E-08	36.73982276	COLGALT1	0	23	12	8	108	72	2.27E-05
1.38E-09	2.74E-08	36.69137466	MGEA5	4	31	12	8	180	120	2.31E-05
1.73E-09	3.38E-08	36.26116071	TXNL1	4	32	12	8	324	216	2.85E-05
1.72E-09	3.38E-08	36.26313814	ZNF320	0	24	12	8	192	128	2.85E-05
1.85E-09	3.60E-08	36.13055115	RP11-690G19.3	1	25	12	8	132	88	3.03E-05
1.88E-09	3.66E-08	36.09100299	PSPC1	0	24	12	8	204	136	3.07E-05
2.06E-09	3.96E-08	35.91897966	STX5	5	33	12	8	264	176	3.32E-05
2.06E-09	3.96E-08	35.91725607	APOLD1	3	30	12	8	300	200	3.32E-05
2.31E-09	4.42E-08	35.69605943	EMID1	2	28	12	8	276	184	3.69E-05
2.63E-09	5.01E-08	35.44179523	SH3GL1	0	23	12	8	144	96	4.19E-05
2.92E-09	5.55E-08	35.23565309	EIF4G3	17	50	12	8	444	296	4.63E-05
2.96E-09	5.59E-08	35.21164021	ZNF823	0	21	12	8	72	48	4.66E-05
3.04E-09	5.73E-08	35.15517031	NACA	0	23	12	8	156	104	4.77E-05
3.20E-09	5.99E-08	35.05851064	PSMA5	10	40	12	8	312	208	4.98E-05
3.29E-09	6.14E-08	35.00418375	MON2	5	32	12	8	216	144	5.09E-05
3.37E-09	6.26E-08	34.95574298	PPP1CB	7	36	12	8	360	240	5.19E-05
3.40E-09	6.29E-08	34.93923611	FAM193A	6	34	12	8	276	184	5.21E-05
3.45E-09	6.34E-08	34.91315626	ZNF626	0	23	12	8	168	112	5.25E-05
3.75E-09	6.87E-08	34.74891261	RAD1	6	33	12	8	192	128	5.68E-05
3.99E-09	7.28E-08	34.62765957	HP1BP3	15	47	12	8	432	288	6.01E-05
4.20E-09	7.64E-08	34.52691163	DYNC1H1	0	23	12	8	192	128	6.29E-05
4.40E-09	7.88E-08	34.44010417	GNPNAT1	0	20	12	8	60	40	6.49E-05
4.40E-09	7.88E-08	34.44010417	MPHOSPH8	0	20	12	8	60	40	6.49E-05
4.40E-09	7.88E-08	34.44010417	RPL7L1	0	20	12	8	60	40	6.49E-05
4.91E-09	8.77E-08	34.225	EIF4H	11	39	12	8	180	120	7.19E-05
4.94E-09	8.78E-08	34.2128293	PTGES3	4	30	12	8	216	144	7.19E-05
4.98E-09	8.82E-08	34.1959827	NOP14	8	34	12	8	132	88	7.22E-05
5.38E-09	9.48E-08	34.04803241	HSPA9	15	45	12	8	252	168	7.74E-05
5.78E-09	1.01E-07	33.90697674	CDK6	1	24	12	8	144	96	8.28E-05
6.09E-09	1.06E-07	33.80412102	MOB1B	5	31	12	8	192	128	8.65E-05
6.08E-09	1.06E-07	33.8104032	ZNF652	6	33	12	8	240	160	8.65E-05
7.05E-09	1.22E-07	33.52122185	ZNF141	11	40	12	8	276	184	9.94E-05
7.11E-09	1.23E-07	33.50570482	DPY19L2	4	29	12	8	168	112	9.96E-05
7.19E-09	1.24E-07	33.48157384	SPAG9	6	33	12	8	264	176	0.000100335
7.67E-09	1.31E-07	33.35802531	USP15	6	32	12	8	180	120	0.000106193
7.69E-09	1.31E-07	33.35294118	PILRB	1	24	12	8	168	112	0.000106193
8.14E-09	1.38E-07	33.24207902	KMT2C	4	30	12	8	300	200	0.000111691
8.52E-09	1.44E-07	33.15216115	AKAP9	0	22	12	8	168	112	0.000116361
8.57E-09	1.44E-07	33.14081342	FBXL20	5	31	12	8	228	152	0.000116427
8.92E-09	1.50E-07	33.0625	SOCS2-AS1	0	20	12	8	72	48	0.000120578
9.06E-09	1.51E-07	33.0338672	TIA1	12	42	12	8	432	288	0.000121728
9.46E-09	1.58E-07	32.94915254	ITPA	1	24	12	8	192	128	0.000126487
9.77E-09	1.61E-07	32.88634322	OSGEP	0	21	12	8	108	72	0.00012945
9.77E-09	1.61E-07	32.88634322	VPS41	0	21	12	8	108	72	0.00012945
1.10E-08	1.79E-07	32.66068706	METAP2	0	22	12	8	204	136	0.000143329
1.10E-08	1.79E-07	32.66068706	CPSF7	0	22	12	8	204	136	0.000143329
1.10E-08	1.79E-07	32.66068706	RP3-368A4.5	0	22	12	8	204	136	0.000143329
1.11E-08	1.81E-07	32.63606329	MDM2	2	25	12	8	144	96	0.000144052
1.17E-08	1.90E-07	32.53563744	PIGH	0	22	12	8	216	144	0.000150916
1.22E-08	1.97E-07	32.45660037	ZNF69	21	53	12	8	492	328	0.000156378
1.23E-08	1.97E-07	32.44598765	ATAD2	3	27	12	8	180	120	0.000156435
1.28E-08	2.05E-07	32.36345089	LIMD1	6	31	12	8	156	104	0.000162395
1.42E-08	2.25E-07	32.16645008	MACC1	0	19	12	8	60	40	0.000178137
1.42E-08	2.25E-07	32.16645008	ZNF121	0	19	12	8	60	40	0.000178137
1.46E-08	2.31E-07	32.11111111	C15orf40	0	15	12	8	24	16	0.000182131
1.68E-08	2.64E-07	31.83518156	SHCBP1	0	21	12	8	144	96	0.000208093
1.68E-08	2.64E-07	31.83518156	RP11-212P7.3	0	21	12	8	144	96	0.000208093
1.89E-08	2.96E-07	31.60207877	PCMTD1	0	21	12	8	156	104	0.000233162
1.94E-08	3.03E-07	31.55331622	PSTPIP2	6	30	12	8	132	88	0.0002379
2.01E-08	3.10E-07	31.48809524	VTI1A	0	20	12	8	96	64	0.000243003
2.01E-08	3.10E-07	31.48809524	CPT1A	0	20	12	8	96	64	0.000243003
2.01E-08	3.10E-07	31.48809524	GPATCH2L	0	20	12	8	96	64	0.000243003
2.10E-08	3.22E-07	31.40285326	VPS29	1	23	12	8	180	120	0.000252012
2.11E-08	3.24E-07	31.38700538	STX12	6	31	12	8	192	128	0.000252826
2.23E-08	3.40E-07	31.28255208	GBP4	8	32	12	8	120	80	0.000265491
2.28E-08	3.47E-07	31.23613245	PAFAH1B2	0	21	12	8	180	120	0.000270583
2.33E-08	3.52E-07	31.2012987	MYO9B	5	30	12	8	252	168	0.000274135
2.37E-08	3.58E-07	31.16221971	WDR12	8	35	12	8	372	248	0.000278345
2.62E-08	3.94E-07	30.96904937	PPP6R3	1	22	12	8	120	80	0.000305975
2.64E-08	3.96E-07	30.95424107	CTC-429P9.4	1	23	12	8	216	144	0.000306822
2.80E-08	4.18E-07	30.84291876	UHRF2	2	24	12	8	144	96	0.000323362
3.12E-08	4.64E-07	30.63078813	MRPL30	7	30	12	8	108	72	0.000358973
3.16E-08	4.68E-07	30.60748179	JOSD1	1	22	12	8	132	88	0.000361559
3.56E-08	5.26E-07	30.375	HINT1	4	26	12	8	108	72	0.000405629
3.58E-08	5.27E-07	30.3665882	USP39	10	36	12	8	216	144	0.000405629
3.63E-08	5.32E-07	30.33913227	GMPS	4	27	12	8	156	104	0.000409245
3.68E-08	5.38E-07	30.31256261	UBR1	1	22	12	8	144	96	0.000412906
3.95E-08	5.76E-07	30.17146236	ZYG11B	16	43	12	8	216	144	0.000441947
4.01E-08	5.82E-07	30.146078	CLPX	0	19	12	8	84	56	0.000445638
4.08E-08	5.90E-07	30.11124368	HNRNPC	2	24	12	8	180	120	0.00045156
4.20E-08	6.06E-07	30.05362347	MPV17	3	26	12	8	228	152	0.000462974
4.88E-08	7.01E-07	29.76512227	SMARCA4	6	29	12	8	132	88	0.00053471
5.10E-08	7.28E-07	29.67857809	H2AFV	27	57	12	8	408	272	0.000554591
5.09E-08	7.28E-07	29.68333072	USP47	1	22	12	8	180	120	0.000554591
5.12E-08	7.28E-07	29.67147436	CTD-2020K17.1	0	20	12	8	168	112	0.000554591
5.22E-08	7.40E-07	29.63203463	THADA	1	20	12	8	72	48	0.000562009
5.51E-08	7.73E-07	29.53008344	FOXO1	1	22	12	8	192	128	0.000585645
5.49E-08	7.73E-07	29.53610472	STAM	1	21	12	8	108	72	0.000585645
5.49E-08	7.73E-07	29.53610472	SYNRG	1	21	12	8	108	72	0.000585645
6.25E-08	8.71E-07	29.28415811	FBXO3	0	17	12	8	48	32	0.000657852
6.25E-08	8.71E-07	29.28415811	FKBP3	0	17	12	8	48	32	0.000657852
7.36E-08	1.02E-06	28.96669289	C4orf29	4	27	12	8	240	160	0.00077037
7.65E-08	1.06E-06	28.8916122	SPATA5	0	18	12	8	72	48	0.000794491
7.65E-08	1.06E-06	28.8916122	PSMD12	0	18	12	8	72	48	0.000794491
7.76E-08	1.07E-06	28.86411314	UBXN4	6	30	12	8	252	168	0.000801073
7.94E-08	1.09E-06	28.81971558	HNRNPR	21	50	12	8	456	304	0.00081588
8.07E-08	1.10E-06	28.78986139	HNRNPA1L2	0	19	12	8	120	80	0.000822074
