p.value	p.adjust	chi_square_statistic	Gene	n_cond1	n_cond2	n_samples_cond1	n_samples_cond2	n_possible_sites_cond1	n_possible_sites_cond2	p.adjust2
4.86E-09	5.75E-07	34.24351588	CCNL2	15	111	12	22	300	550	0.000123085
5.68E-09	6.44E-07	33.94088872	ACBD5	25	4	12	22	108	198	0.000136601
5.71E-09	6.44E-07	33.93231392	RAB7A	13	110	12	22	708	1298	0.000136601
6.61E-09	7.31E-07	33.64770723	SLC35E2B	5	72	12	22	132	242	0.000153497
7.04E-09	7.64E-07	33.52409465	ATP2C1	20	129	12	22	540	990	0.000159598
1.04E-08	1.11E-06	32.76431642	PSMA5	10	97	12	22	528	968	0.000230255
1.16E-08	1.21E-06	32.54944179	KLHL24	5	80	12	22	600	1100	0.000251105
2.23E-08	2.28E-06	31.28737029	NOP14	8	81	12	22	180	330	0.000469687
2.41E-08	2.43E-06	31.12902034	NFE2L2	18	120	12	22	696	1276	0.000497911
2.52E-08	2.49E-06	31.04757073	PRKAR2A	7	77	12	22	168	308	0.000507488
2.62E-08	2.55E-06	30.9669793	HINT1	4	68	12	22	180	330	0.000517176
2.81E-08	2.68E-06	30.83312087	KIAA1841	15	108	12	22	432	792	0.00054187
3.01E-08	2.82E-06	30.7001094	NOL9	2	63	12	22	276	506	0.000567655
4.03E-08	3.71E-06	30.13676208	MDM4	15	106	12	22	384	704	0.000742577
6.17E-08	5.60E-06	29.30967183	PHACTR4	7	80	12	22	408	748	0.001113468
7.72E-08	6.89E-06	28.87515666	HSPA9	15	102	12	22	300	550	0.001364059
7.91E-08	6.95E-06	28.82824077	LYST	9	83	12	22	252	462	0.001368374
8.89E-08	7.69E-06	28.60084176	RNF4	7	79	12	22	432	792	0.001507131
1.01E-07	8.59E-06	28.35717838	ACYP2	13	99	12	22	600	1100	0.001674375
1.32E-07	1.10E-05	27.84045677	RPSA	3	61	12	22	216	396	0.002142613
1.37E-07	1.13E-05	27.76581251	RNF115	17	106	12	22	312	572	0.002182349
1.45E-07	1.18E-05	27.65573549	DPY30	1	55	12	22	348	638	0.002264364
2.07E-07	1.66E-05	26.96478246	CASP10	6	68	12	22	168	308	0.003173417
2.24E-07	1.72E-05	26.81703905	OCIAD2	13	94	12	22	372	682	0.003270179
2.21E-07	1.72E-05	26.84306252	RNF168	9	83	12	22	504	924	0.003270179
2.24E-07	1.72E-05	26.81433337	UGGT1	0	49	12	22	288	528	0.003270179
2.46E-07	1.87E-05	26.6314448	CRHBP	6	71	12	22	312	572	0.00348959
2.90E-07	2.17E-05	26.31378745	DGKD	17	1	12	22	132	242	0.004036022
3.34E-07	2.43E-05	26.04039007	DCP1A	16	105	12	22	936	1716	0.004503174
3.33E-07	2.43E-05	26.04814441	DPPA4	11	85	12	22	276	506	0.004503174
3.50E-07	2.49E-05	25.95114704	TMEM165	9	82	12	22	624	1144	0.004557928
3.51E-07	2.49E-05	25.94592541	TFDP2	6	70	12	22	324	594	0.004557928
3.69E-07	2.58E-05	25.85244183	UBE2E2	17	1	12	22	204	374	0.004671912
4.64E-07	3.21E-05	25.40719477	ZNF718	4	62	12	22	300	550	0.005778739
4.89E-07	3.34E-05	25.30523904	MRPL30	7	68	12	22	156	286	0.005983742
5.28E-07	3.56E-05	25.15919398	PHTF1	12	90	12	22	624	1144	0.006340113
5.92E-07	3.94E-05	24.93882769	LIMD1	6	67	12	22	240	440	0.006982639
6.66E-07	4.38E-05	24.71205186	RAB10	22	119	12	22	756	1386	0.007717036
8.11E-07	5.28E-05	24.33140643	MED18	8	72	12	22	228	418	0.009239148
9.34E-07	6.01E-05	24.05951886	GABPB2	4	61	12	22	480	880	0.010456204
1.54E-06	9.78E-05	23.09985728	RPS10P7	14	91	12	22	456	836	0.016921927
1.87E-06	0.000117525	22.72502214	HSPD1	9	74	12	22	324	594	0.020214245
2.05E-06	0.000127634	22.54476009	RPL37A	5	60	12	22	252	462	0.021825473
2.43E-06	0.000148622	22.21748776	VAMP4	9	72	12	22	252	462	0.025265781
2.44E-06	0.000148622	22.20970088	RBM8A	5	58	12	22	180	330	0.025265781
2.59E-06	0.000156058	22.09499571	RAD1	6	63	12	22	288	528	0.026217719
2.70E-06	0.000160885	22.01577002	KIAA1143	5	58	12	22	192	352	0.026867801
2.92E-06	0.000172035	21.86664396	PRC1	19	4	12	22	132	242	0.028557869
3.40E-06	0.000197853	21.57810489	CCDC66	6	61	12	22	216	396	0.032645746
4.02E-06	0.000231552	21.256467	SEC31A	5	58	12	22	264	484	0.037974495
4.08E-06	0.000232967	21.22492817	PPIL3	0	40	12	22	324	594	0.037974495
4.17E-06	0.000235473	21.18476365	TXNDC15	0	39	12	22	204	374	0.038146561
4.45E-06	0.000248805	21.05976414	PAICS	9	70	12	22	252	462	0.040057656
4.63E-06	0.000255919	20.98649516	RP4-717I23.3	14	87	12	22	468	858	0.040947056
5.23E-06	0.000286672	20.75007862	RASSF1	8	68	12	22	396	726	0.045580851
5.35E-06	0.000289959	20.7093795	SRP9	18	95	12	22	276	506	0.04581355
5.78E-06	0.000310608	20.55899339	INPP5D	21	107	12	22	672	1232	0.048765477
6.08E-06	0.000320905	20.46150963	STAG2	12	0	12	22	72	132	0.050061171
6.09E-06	0.000320905	20.45975781	DHFR	6	58	12	22	168	308	0.050061171
6.61E-06	0.000345256	20.30165289	PUM2	28	125	12	22	648	1188	0.05316945
7.12E-06	0.000368248	20.1603539	UBXN2A	13	83	12	22	564	1034	0.056341966
7.53E-06	0.000385585	20.05457403	CAMLG	6	60	12	22	348	638	0.058608927
7.71E-06	0.000391174	20.00943135	ZNF131	7	64	12	22	504	924	0.059067225
7.91E-06	0.00039776	19.96004317	SMARCC1	24	115	12	22	1020	1870	0.059663967
1.12E-05	0.00055768	19.2970568	NXPE3	5	55	12	22	300	550	0.083094307
1.22E-05	0.000601079	19.13687126	AFF1	22	107	12	22	768	1408	0.088959704
1.28E-05	0.000626035	19.04227051	PPA2	8	62	12	22	180	330	0.092027136
1.31E-05	0.000633414	19.00309671	RP11-251M1.1	16	3	12	22	108	198	0.092478494
1.46E-05	0.000704738	18.78288921	AC007246.3	3	47	12	22	264	484	0.102186954
1.69E-05	0.00080434	18.51433854	XPO1	15	86	12	22	720	1320	0.115825005
1.84E-05	0.000865385	18.34792278	ARID4B	28	122	12	22	1068	1958	0.123750008
1.85E-05	0.000865385	18.34236597	NMNAT1	0	34	12	22	168	308	0.123750008
1.97E-05	0.000914301	18.22154691	C4orf29	6	56	12	22	264	484	0.128916407
2.10E-05	0.000967851	18.09721711	SEC62	7	58	12	22	204	374	0.135499109
2.21E-05	0.001009282	18.00161495	BRE	3	46	12	22	312	572	0.140290141
2.65E-05	0.00120394	17.65037376	ORC2	2	40	12	22	144	264	0.166143782
2.73E-05	0.001226169	17.6000554	FAM129A	7	56	12	22	156	286	0.167985099
2.90E-05	0.001293449	17.4830887	ATG12	3	37	12	22	48	88	0.175909078
3.07E-05	0.001357954	17.3753114	POLR1A	0	33	12	22	228	418	0.183323777
3.13E-05	0.0013734	17.33867261	DHDDS	5	51	12	22	240	440	0.184035577
3.30E-05	0.001427267	17.23564534	C5orf24	2	41	12	22	300	550	0.189826472
3.29E-05	0.001427267	17.24498243	PHACTR4	4	49	12	22	564	1034	0.189826472
3.43E-05	0.001469493	17.16547218	TFRC	11	69	12	22	264	484	0.192503634
3.68E-05	0.001553583	17.03213233	GNB4	37	25	12	22	192	352	0.201965743
3.68E-05	0.001553583	17.0305705	GATAD2B	27	116	12	22	984	1804	0.201965743
3.85E-05	0.001601754	16.94536691	CCL28	3	40	12	22	84	154	0.205024465
3.85E-05	0.001601754	16.94382756	SRFBP1	0	31	12	22	120	220	0.205024465
4.29E-05	0.001772078	16.73782554	SOAT1	10	66	12	22	324	594	0.22328182
4.66E-05	0.001908803	16.58273825	ITGA9	7	57	12	22	372	682	0.238600353
5.26E-05	0.002138749	16.35310294	RUFY3	5	50	12	22	336	616	0.265204936
5.53E-05	0.00223305	16.25745891	THADA	1	34	12	22	132	242	0.274665137
5.80E-05	0.002317528	16.16796086	DTL	3	43	12	22	360	660	0.282738414
5.82E-05	0.002317528	16.15965856	FNIP1	36	137	12	22	1104	2024	0.282738414
6.02E-05	0.002377271	16.09787658	ARNT	0	31	12	22	252	462	0.285272517
6.25E-05	0.002453311	16.02477924	TFDP2	3	43	12	22	444	814	0.291944026
6.55E-05	0.002552561	15.93632257	ATAD3A	0	30	12	22	156	286	0.301202179
6.67E-05	0.002582603	15.9008937	ZFYVE20	4	45	12	22	216	396	0.302164538
7.00E-05	0.002689945	15.8106433	GPBP1L1	25	107	12	22	696	1276	0.312033567
7.28E-05	0.002776766	15.73745158	GNAQ	59	52	12	22	612	1122	0.319328128
7.35E-05	0.002785585	15.71845285	C2orf68	8	57	12	22	216	396	0.319328128
7.55E-05	0.002841602	15.66788367	CROCCP2	0	30	12	22	204	374	0.321101015
7.61E-05	0.002846274	15.65195492	ICMT	2	38	12	22	252	462	0.321101015
7.75E-05	0.00285807	15.61875	TADA3	1	33	12	22	132	242	0.321101015
7.75E-05	0.00285807	15.61915246	PHAX	16	80	12	22	288	528	0.321101015
7.81E-05	0.002862667	15.60314685	RP11-556E13.1	14	3	12	22	84	154	0.321101015
8.45E-05	0.003075287	15.45522931	F11R	6	50	12	22	180	330	0.332131044
8.67E-05	0.003136696	15.40547225	NUP155	0	29	12	22	144	264	0.335626434
9.34E-05	0.003356926	15.26496885	METTL14	8	57	12	22	288	528	0.355834164
9.57E-05	0.003416934	15.21928133	7-Mar	14	74	12	22	300	550	0.358778082
0.000125532	0.004452354	14.70771342	CDK13	4	39	12	22	72	132	0.463044845
0.000128593	0.004531871	14.66229951	EMILIN2	12	2	12	22	60	110	0.466782753
0.000139806	0.004895878	14.50475268	ARHGEF2	6	50	12	22	384	704	0.499379532
